Scan.Type,Scan.Date,Scan Entered into CME,Latitude,Longitude,Run.No.
Delivery,9/05/2019 10:24,9/05/2019 10:24,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:24,9/05/2019 10:24,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:26,9/05/2019 10:27,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:31,9/05/2019 10:31,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:31,9/05/2019 10:32,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:34,9/05/2019 10:35,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:34,9/05/2019 10:35,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:36,9/05/2019 10:37,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:38,9/05/2019 10:39,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:40,9/05/2019 10:41,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:40,9/05/2019 10:41,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:40,9/05/2019 10:41,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:41,9/05/2019 10:41,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:43,9/05/2019 10:43,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:45,9/05/2019 10:46,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:46,9/05/2019 10:47,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:47,9/05/2019 10:47,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:48,9/05/2019 10:48,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:52,9/05/2019 10:52,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:56,9/05/2019 10:56,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:58,9/05/2019 10:58,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:00,9/05/2019 11:00,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:02,9/05/2019 11:03,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:04,9/05/2019 11:04,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:05,9/05/2019 11:05,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:07,9/05/2019 11:07,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:08,9/05/2019 11:08,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:12,9/05/2019 11:13,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:14,9/05/2019 11:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:15,9/05/2019 11:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:15,9/05/2019 11:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:21,9/05/2019 11:21,-41.2583585,174.7876374,WCP306  
